®É¶¡,¬R·ç2,¬R·ç3,¦V®¼2,¦V®¼3,²±µx1,²±µx2,ºû­Û1,ºû­Û2,¹F¯§3,¹F¯§1,«³ºú2,«³ºú3,®a¥Ý1,®a¥Ý2,°·øÊ2,°·øÊ3,´­·y2,´­·y3,Ãh¦w1,Ãh¦w2,¶i³Ç1,¶i³Ç2,¼sÁ¾1,¼sÁ¾2
0,757.079426,734.270784,765.609953,753.359017,720.737605,756.962503,779.516054,780.796913,738.591413,750.652531,548.742395,551.869105,813.442335,819.503211,826.931913,837.993119,657.033512,663.784089,846.279501,856.271558,1023.656286,1024.200088,802.062662,789.23548
0.001,753.897688,731.406775,762.106636,750.812886,718.659598,753.622141,777.771841,778.891419,733.822033,748.111214,545.388135,549.472545,809.625476,817.119351,825.817303,837.358165,655.761614,659.966393,845.164395,855.475835,1023.022651,1022.772386,801.107329,787.328954
0.002,751.832213,730.135038,759.557822,749.695081,714.506269,754.580338,776.183063,776.654301,729.850199,744.773838,540.764164,548.352222,809.466861,818.071369,825.024229,836.562773,654.167816,659.971578,844.211052,854.36586,1022.227919,1021.1821,798.085702,785.898756
0.003,749.445538,726.321985,758.285759,746.985483,712.118903,754.266968,776.664754,776.652462,726.355037,741.436796,537.894278,544.999817,808.197772,816.322958,824.228336,835.608266,653.849096,659.650009,844.050781,855.00032,1022.703597,1020.546812,797.771119,783.991903
0.004,748.332088,725.683386,756.852912,746.032819,709.251369,752.357449,773.96034,775.700461,722.857559,739.052106,534.85892,542.286028,806.131639,816.80046,821.843484,835.768372,653.528687,658.057206,841.824045,854.363375,1020.798398,1020.07229,795.066883,781.129049
0.005,745.312942,724.094918,753.824759,744.759083,705.893597,752.999925,771.097163,774.260755,719.523664,735.554463,531.504163,539.575751,803.746617,815.845786,821.686855,835.45048,651.935055,656.776777,841.031136,852.935346,1020.958996,1019.91318,793.956246,780.178351
0.006,743.722317,720.914008,753.025177,740.939879,702.390778,749.656895,769.339731,771.394216,716.186622,733.808041,527.358868,536.862806,803.428558,816.322456,820.574561,834.65343,650.821938,653.911413,842.301051,852.29923,1019.847201,1018.802047,793.319967,777.634719
0.007,741.497074,719.004173,752.703442,738.708956,699.038869,750.293009,767.594011,770.920062,711.417405,729.039325,523.848511,535.107876,801.203645,816.484049,819.460779,834.177255,650.345101,652.155986,839.757915,852.29807,1019.210921,1016.574315,792.048396,776.682036
0.008,736.885484,716.30126,747.928891,736.474191,696.483363,748.549294,765.843604,769.805769,707.764292,726.01968,520.33615,531.759149,800.726472,816.799788,818.665882,833.860024,650.671358,649.608017,838.803414,851.50334,1018.736232,1016.73376,790.616559,773.18423
0.009,735.2942,714.554178,744.740948,736.000202,693.294907,747.919209,762.976236,767.731622,705.857434,724.430383,516.825462,528.881395,798.502054,815.370762,816.757867,833.0643,648.910249,648.814962,838.325582,851.343565,1017.463504,1015.463516,789.822656,772.546458
0.01,734.023294,713.281781,743.950741,732.335256,689.626118,744.722901,760.586202,765.494504,701.090375,718.232975,512.357588,525.847875,796.913584,815.530203,815.646736,832.74823,646.67916,645.63338,836.734633,851.345057,1018.260716,1014.988663,786.483299,769.213059
0.011,730.209414,710.579861,740.601351,729.474581,684.681406,744.570316,759.957111,764.856717,695.370464,715.689838,509.164625,523.929825,797.546222,813.781297,813.737561,832.11162,645.884763,643.236819,835.303125,851.024847,1016.989976,1013.557321,785.530286,768.735064
0.012,727.506832,706.921451,738.060405,727.405453,680.04922,742.013137,758.041413,762.626291,692.033256,712.03358,503.580785,519.943973,795.32346,814.101835,812.784875,832.110957,645.092055,639.891769,835.465048,851.344397,1017.14859,1013.079655,784.259877,765.076819
0.013,723.371583,703.422484,736.145701,724.061911,676.541381,742.017493,755.815178,759.275393,687.584587,707.583255,500.230716,517.870481,794.051062,814.102662,810.719237,830.840382,643.658363,635.906927,833.078709,850.072992,1015.87768,1010.694801,783.780391,763.64763
0.014,719.556544,702.149921,733.595546,721.195039,672.711294,740.426031,750.878169,757.202407,682.811896,705.040447,497.039924,514.039897,793.414615,813.781954,809.60446,830.203768,642.538222,633.358113,832.442758,849.277102,1016.35485,1010.221274,782.667767,762.0585
0.015,716.852638,698.334551,730.249501,717.853683,668.405712,739.469177,748.64072,754.964792,679.637441,700.907848,492.57306,510.218341,790.871477,813.942057,806.745748,828.773419,641.42527,629.694343,830.692696,849.595823,1014.128277,1009.902057,781.397359,758.7203
0.016,713.832996,696.109967,727.064242,715.142246,663.773541,735.964842,747.690905,750.818155,675.822735,696.934693,488.257439,507.499036,788.64689,812.670818,806.74426,828.932697,639.360152,625.390103,829.58024,849.594832,1014.765387,1009.426709,779.488351,757.449725
0.017,708.745727,691.975544,724.200551,713.557145,658.353831,733.738773,743.388337,748.262483,671.848914,694.072505,484.755448,504.94989,787.375984,812.829431,805.154962,828.615464,638.402634,622.999059,829.42179,848.639832,1013.971813,1007.519188,777.579344,754.42826
0.018,704.613953,689.908085,722.28752,710.371222,654.203683,732.299564,740.365204,745.550533,666.607167,688.985238,479.331397,501.279247,785.785859,812.035857,803.248605,827.660131,637.768358,619.970906,827.037268,847.686485,1013.178737,1007.200799,776.148332,752.364113
0.019,700.957365,685.457592,719.899657,707.027183,648.776617,729.429844,737.342899,741.406745,660.563906,686.125864,477.089757,498.089133,782.924994,811.082017,802.294757,825.117161,633.625747,614.713322,825.60725,849.118491,1014.132914,1006.882412,774.877758,750.933598
0.02,696.188318,681.482284,716.714397,705.27979,645.430226,729.271064,732.080643,737.092797,657.230506,681.198035,471.030579,494.577104,781.016978,810.128005,800.227299,824.162988,633.466801,609.129994,824.174747,847.847914,1012.703391,1004.65932,772.334622,747.594572
0.021,690.306649,678.304685,714.008989,700.345298,639.997131,725.602441,729.052656,732.944322,653.098238,677.222729,466.883445,490.910319,780.064295,810.442917,799.431078,824.004704,632.509118,604.990895,822.583464,847.050704,1011.430827,1004.18364,770.581579,745.050935
0.022,687.12524,675.123775,708.911693,697.645739,635.847314,723.694761,726.820558,729.594418,648.010305,673.40637,461.937226,489.155389,778.473344,810.287774,797.365937,823.528196,630.919329,601.167335,820.67876,846.892253,1010.797028,1004.341922,770.264353,743.937486
0.023,682.200229,671.782592,706.365231,695.097603,628.663978,723.532137,722.520508,724.328138,643.084132,667.843255,456.670946,484.850817,777.204421,810.129491,795.140691,822.733798,628.533138,595.591031,818.768592,846.416407,1011.431157,1003.549343,768.037954,743.620589
0.024,676.474525,667.649827,702.860407,692.23441,623.881061,719.22137,718.375379,720.494207,638.953354,663.709998,453.006166,481.980931,774.975866,809.811429,792.757327,821.461068,627.733225,591.122659,818.132974,845.619859,1009.684735,1001.799775,768.19756,739.327057
0.025,671.706801,661.609705,699.51587,689.204418,618.615277,716.350142,714.867042,713.945312,634.659655,659.417461,447.74189,477.507706,772.907414,809.333925,792.757989,820.190989,625.980813,584.748115,814.635828,845.777811,1010.005275,1001.164654,764.379876,738.214272
0.026,665.824306,658.269847,697.450917,686.022339,613.827507,715.081094,709.923673,708.370847,630.0517,654.488641,441.834475,473.367762,770.844261,807.585354,791.486252,817.642225,623.265366,579.966706,814.953718,844.82513,1009.528768,999.097197,764.2206,734.399728
0.027,659.463819,654.773197,692.508391,682.841767,606.643673,712.844142,704.658402,702.304819,626.557038,649.40286,437.206314,470.181989,768.776473,807.268618,788.781023,818.44093,620.719898,574.397094,812.73046,844.030402,1007.460485,999.099682,763.585478,732.808944
0.028,652.470021,649.209416,689.487097,679.980926,601.220783,708.857959,698.765714,696.712778,620.356979,644.15615,433.538519,466.185436,766.712985,806.78979,787.033275,817.169362,620.567811,567.699308,811.298457,844.030236,1007.780029,997.668998,761.360732,730.902251
0.029,647.222812,644.758258,686.302003,675.686227,595.632255,706.465407,693.825525,691.606951,616.22438,640.815138,427.790547,461.887224,764.645198,806.313284,784.808198,816.21436,617.376687,562.281784,808.914099,843.709862,1007.621086,996.556708,759.452551,730.106863
0.03,640.866453,640.307765,681.846353,674.890669,588.766147,703.27546,690.310828,685.220679,613.043801,634.775682,422.207385,456.944683,761.783337,806.314276,784.171088,815.419961,615.630305,556.551388,808.120033,843.551909,1007.463134,996.397595,756.748976,727.244011
0.031,632.757223,633.62921,677.695873,670.597809,583.498856,699.925059,685.685515,678.35742,608.754077,630.32536,418.854964,452.469785,761.307992,804.568351,781.787062,814.625232,614.036507,549.057689,806.369307,842.438625,1006.506808,997.035036,755.793977,725.97426
